index, stamp_sec, stamp_usec
1405,1638428781,357787
1406,1638428781,410409
1407,1638428781,458459
1408,1638428781,509832
1409,1638428781,559198
1410,1638428781,605974
1411,1638428781,658437
1412,1638428781,709143
1413,1638428781,758364
1414,1638428781,809257
1415,1638428781,857835
1416,1638428781,908236
1417,1638428781,955514
1418,1638428782,8817
1419,1638428782,55083
1420,1638428782,107738
1421,1638428782,157458
1422,1638428782,207875
1423,1638428782,257901
1424,1638428782,306998
1425,1638428782,357283
1426,1638428782,407775
1427,1638428782,457801
1428,1638428782,508080
1429,1638428782,557538
1430,1638428782,607643
1431,1638428782,656863
1432,1638428782,707124
1433,1638428782,755780
1434,1638428782,808343
1435,1638428782,857501
1436,1638428782,908087
1437,1638428782,958002
1438,1638428783,5299
1439,1638428783,57953
1440,1638428783,105542
1441,1638428783,164748
1442,1638428783,207646
1443,1638428783,257305
1444,1638428783,307446
1445,1638428783,355235
1446,1638428783,405929
1447,1638428783,457451
1448,1638428783,500523
1449,1638428783,555962
1450,1638428783,606619
1451,1638428783,652139
1452,1638428783,705376
1453,1638428783,757259
1454,1638428783,805865
1455,1638428783,855583
1456,1638428783,907148
1457,1638428783,956388
1458,1638428784,6142
1459,1638428784,56192
1460,1638428784,106207
1461,1638428784,156515
1462,1638428784,206024
1463,1638428784,256202
1464,1638428784,307272
1465,1638428784,352922
1466,1638428784,403344
1467,1638428784,451829
1468,1638428784,507141
1469,1638428784,556507
1470,1638428784,604710
1471,1638428784,657373
1472,1638428784,706707
1473,1638428784,757589
1474,1638428784,805343
1475,1638428784,857838
1476,1638428784,903384
1477,1638428784,952876
1478,1638428785,6261
1479,1638428785,56088
1480,1638428785,105591
1481,1638428785,153360
1482,1638428785,203047
1483,1638428785,254316
1484,1638428785,303145
1485,1638428785,352307
1486,1638428785,405606
1487,1638428785,455027
1488,1638428785,505304
1489,1638428785,555315
1490,1638428785,606417
1491,1638428785,653847
1492,1638428785,704614
1493,1638428785,753963
1494,1638428785,804444
1495,1638428785,853885
1496,1638428785,907251
1497,1638428785,955424
1498,1638428786,6105
1499,1638428786,54728
1500,1638428786,104881
1501,1638428786,161587
1502,1638428786,204919
1503,1638428786,253635
1504,1638428786,303634
1505,1638428786,354350
1506,1638428786,404886
1507,1638428786,452457
1508,1638428786,503855
1509,1638428786,550511
1510,1638428786,605201
1511,1638428786,652794
1512,1638428786,705949
1513,1638428786,752785
1514,1638428786,805125
1515,1638428786,853521
1516,1638428786,904311
1517,1638428786,953821
1518,1638428787,5195
1519,1638428787,54422
1520,1638428787,105265
1521,1638428787,154664
1522,1638428787,202301
1523,1638428787,254706
1524,1638428787,307843
1525,1638428787,353704
1526,1638428787,404551
1527,1638428787,452922
1528,1638428787,506485
1529,1638428787,552384
1530,1638428787,603707
1531,1638428787,652749
1532,1638428787,701971
1533,1638428787,752336
1534,1638428787,802677
1535,1638428787,853081
1536,1638428787,898525
1537,1638428787,953848
1538,1638428787,999289
1539,1638428788,54106
1540,1638428788,102991
1541,1638428788,153890
1542,1638428788,200051
1543,1638428788,250967
1544,1638428788,303563
1545,1638428788,352809
1546,1638428788,402685
1547,1638428788,452825
1548,1638428788,502461
1549,1638428788,552152
1550,1638428788,602578
1551,1638428788,652071
1552,1638428788,702360
1553,1638428788,750820
1554,1638428788,801145
1555,1638428788,852828
1556,1638428788,902744
1557,1638428788,951712
1558,1638428789,2860
1559,1638428789,51822
1560,1638428789,100171
1561,1638428789,156451
1562,1638428789,201156
1563,1638428789,251954
1564,1638428789,302739
1565,1638428789,352182
1566,1638428789,401563
1567,1638428789,451037
1568,1638428789,502863
1569,1638428789,547804
1570,1638428789,599588
1571,1638428789,651824
1572,1638428789,702998
1573,1638428789,752571
1574,1638428789,803127
1575,1638428789,850836
1576,1638428789,900534
1577,1638428789,954057
1578,1638428790,2904
1579,1638428790,52936
1580,1638428790,102201
1581,1638428790,151520
1582,1638428790,201847
1583,1638428790,251854
1584,1638428790,302044
1585,1638428790,351280
1586,1638428790,401920
1587,1638428790,451040
1588,1638428790,501193
1589,1638428790,552072
1590,1638428790,601343
1591,1638428790,652363
1592,1638428790,702954
1593,1638428790,751913
1594,1638428790,801738
1595,1638428790,850937
1596,1638428790,901107
1597,1638428790,951006
1598,1638428791,576
1599,1638428791,49630
1600,1638428791,100248
1601,1638428791,148063
1602,1638428791,201010
1603,1638428791,251367
1604,1638428791,297063
1605,1638428791,348930
1606,1638428791,398855
1607,1638428791,449007
1608,1638428791,498351
1609,1638428791,549060
1610,1638428791,598800
1611,1638428791,649955
1612,1638428791,700083
1613,1638428791,749792
1614,1638428791,801116
1615,1638428791,849880
1616,1638428791,898767
1617,1638428791,948290
1618,1638428792,82
1619,1638428792,49809
1620,1638428792,99200
1621,1638428792,153916
1622,1638428792,200277
1623,1638428792,249752
1624,1638428792,300218
1625,1638428792,351892
1626,1638428792,399563
1627,1638428792,448816
1628,1638428792,499703
1629,1638428792,548731
1630,1638428792,601921
1631,1638428792,648702
1632,1638428792,698350
1633,1638428792,748916
1634,1638428792,800071
1635,1638428792,849781
1636,1638428792,899356
1637,1638428792,950295
1638,1638428792,997241
1639,1638428793,50994
1640,1638428793,100999
1641,1638428793,148146
1642,1638428793,198888
1643,1638428793,248076
1644,1638428793,299452
1645,1638428793,347233
1646,1638428793,397451
1647,1638428793,447341
1648,1638428793,498145
1649,1638428793,547567
1650,1638428793,599011
1651,1638428793,651286
1652,1638428793,698147
1653,1638428793,747532
1654,1638428793,797582
1655,1638428793,849331
1656,1638428793,900287
1657,1638428793,949243
1658,1638428793,999664
1659,1638428794,48429
1660,1638428794,98161
1661,1638428794,148722
1662,1638428794,200182
1663,1638428794,247969
1664,1638428794,298203
1665,1638428794,350324
1666,1638428794,397861
1667,1638428794,444652
1668,1638428794,501243
1669,1638428794,553035
1670,1638428794,594327
1671,1638428794,646110
1672,1638428794,698012
1673,1638428794,749335
1674,1638428794,798130
1675,1638428794,850383
1676,1638428794,897521
1677,1638428794,949497
1678,1638428794,997738
1679,1638428795,48967
1680,1638428795,98570
1681,1638428795,155174
1682,1638428795,195594
1683,1638428795,245697
1684,1638428795,295567
1685,1638428795,346383
1686,1638428795,394998
1687,1638428795,445902
1688,1638428795,494455
1689,1638428795,545150
1690,1638428795,594021
1691,1638428795,644231
1692,1638428795,694691
1693,1638428795,744427
1694,1638428795,793975
1695,1638428795,847185
1696,1638428795,893365
1697,1638428795,952564
1698,1638428795,997380
1699,1638428796,51809
1700,1638428796,97539
1701,1638428796,145006
1702,1638428796,195892
1703,1638428796,252293
1704,1638428796,293182
1705,1638428796,343819
1706,1638428796,394913
1707,1638428796,444888
1708,1638428796,495500
1709,1638428796,543849
1710,1638428796,593489
1711,1638428796,643797
1712,1638428796,694214
1713,1638428796,744545
1714,1638428796,794201
1715,1638428796,847532
1716,1638428796,897510
1717,1638428796,943453
1718,1638428796,997514
1719,1638428797,47275
1720,1638428797,94985
1721,1638428797,147085
1722,1638428797,197911
1723,1638428797,244033
1724,1638428797,293602
1725,1638428797,343617
1726,1638428797,393017
1727,1638428797,442495
1728,1638428797,492766
1729,1638428797,543459
1730,1638428797,593916
1731,1638428797,646144
1732,1638428797,696735
1733,1638428797,743524
1734,1638428797,796394
1735,1638428797,846318
1736,1638428797,894617
1737,1638428797,944127
1738,1638428797,994901
1739,1638428798,46096
1740,1638428798,92402
1741,1638428798,151588
1742,1638428798,193653
1743,1638428798,242538
1744,1638428798,293222
1745,1638428798,343146
1746,1638428798,392852
1747,1638428798,442842
1748,1638428798,490706
1749,1638428798,540811
1750,1638428798,591476
1751,1638428798,643694
1752,1638428798,690231
1753,1638428798,738976
1754,1638428798,789153
1755,1638428798,842014
1756,1638428798,891986
1757,1638428798,942223
1758,1638428798,995151
1759,1638428799,44505
1760,1638428799,93476
1761,1638428799,143808
1762,1638428799,195054
1763,1638428799,244704
1764,1638428799,293902
1765,1638428799,345615
1766,1638428799,395264
1767,1638428799,445058
1768,1638428799,492718
1769,1638428799,544527
1770,1638428799,594131
1771,1638428799,643728
1772,1638428799,694734
1773,1638428799,745256
1774,1638428799,793587
1775,1638428799,845677
1776,1638428799,894148
1777,1638428799,940906
1778,1638428799,990096
1779,1638428800,44120
1780,1638428800,94317
1781,1638428800,141579
1782,1638428800,194196
1783,1638428800,244083
1784,1638428800,293410
